model,freeze_level,drop_out,epochs,batch_size,lr,optimizer,momentum,weight_decay,patience,label_smoothing,seed,save_dir,best_val_acc,test_acc,exp_id,curve_img,changes_table,changes_detail
resnet34,63,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/01_baseline,82.96,81.83,01_baseline,01_baseline/resnet34_f63_sgd_lr0.001_bs128/curves.png,-,🚀 **Base Experiment (Standard)**
resnet34,63,0.3,40,128,0.1,sgd,0.9,0.0005,7,0.1,42,study_results/02_high_lr,77.72,77.49000000000001,02_high_lr,02_high_lr/resnet34_f63_sgd_lr0.1_bs128/curves.png,lr(0.001→0.1),**lr**: 0.001 → 0.1
resnet34,63,0.3,40,128,0.0001,adam,0.9,0.0005,7,0.1,42,study_results/03_adam_standard,81.88,80.94,03_adam_standard,03_adam_standard/resnet34_f63_adam_lr0.0001_bs128/curves.png,optimizer(sgd→adam)<br>lr(0.001→0.0001),"**optimizer**: sgd → adam, **lr**: 0.001 → 0.0001"
resnet34,1,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/04_freeze_fc,62.26,61.309999999999995,04_freeze_fc,04_freeze_fc/resnet34_f1_sgd_lr0.001_bs128/curves.png,freeze_level(63→1),**freeze_level**: 63 → 1
resnet34,7,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/05_freeze_partial_deep,79.22,78.57,05_freeze_partial_deep,05_freeze_partial_deep/resnet34_f7_sgd_lr0.001_bs128/curves.png,freeze_level(63→7),**freeze_level**: 63 → 7
resnet34,33,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/06_freeze_bottom_up,70.0,69.31,06_freeze_bottom_up,06_freeze_bottom_up/resnet34_f33_sgd_lr0.001_bs128/curves.png,freeze_level(63→33),**freeze_level**: 63 → 33
resnet34,63,0.5,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/07_high_dropout,82.96,81.83,07_high_dropout,07_high_dropout/resnet34_f63_sgd_lr0.001_bs128/curves.png,drop_out(0.3→0.5),**drop_out**: 0.3 → 0.5
resnet34,63,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.0,42,study_results/08_no_smoothing,82.94,81.55,08_no_smoothing,08_no_smoothing/resnet34_f63_sgd_lr0.001_bs128/curves.png,label_smoothing(0.1→0.0),**label_smoothing**: 0.1 → 0.0
resnet34,63,0.3,40,128,0.001,sgd,0.9,0.01,7,0.1,42,study_results/09_heavy_wd,82.34,81.61,09_heavy_wd,09_heavy_wd/resnet34_f63_sgd_lr0.001_bs128/curves.png,weight_decay(0.0005→0.01),**weight_decay**: 0.0005 → 0.01
resnet18,63,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/10_resnet18,80.88,79.83,10_resnet18,10_resnet18/resnet18_f63_sgd_lr0.001_bs128/curves.png,model(resnet34→resnet18),**model**: resnet34 → resnet18
resnet50,63,0.3,40,128,0.001,sgd,0.9,0.0005,7,0.1,42,study_results/11_resnet50,83.46,82.64,11_resnet50,11_resnet50/resnet50_f63_sgd_lr0.001_bs128/curves.png,model(resnet34→resnet50),**model**: resnet34 → resnet50
resnet34,63,0.3,40,32,0.00025,sgd,0.9,0.0005,7,0.1,42,study_results/12_small_batch,83.42,82.16,12_small_batch,12_small_batch/resnet34_f63_sgd_lr0.00025_bs32/curves.png,lr(0.001→0.00025)<br>batch_size(128→32),"**lr**: 0.001 → 0.00025, **batch_size**: 128 → 32"
resnet34,63,0.3,40,256,0.002,sgd,0.9,0.0005,7,0.1,42,study_results/13_large_batch,82.94,81.84,13_large_batch,13_large_batch/resnet34_f63_sgd_lr0.002_bs256/curves.png,lr(0.001→0.002)<br>batch_size(128→256),"**lr**: 0.001 → 0.002, **batch_size**: 128 → 256"
resnet34,63,0.3,40,128,0.001,sgd,0.0,0.0005,7,0.1,42,study_results/14_no_momentum,70.42,69.83,14_no_momentum,14_no_momentum/resnet34_f63_sgd_lr0.001_bs128/curves.png,momentum(0.9→0.0),**momentum**: 0.9 → 0.0
